name,mz,rt,global_positive_Batch1_A1,global_positive_Batch1_A2,global_positive_Batch1_A3,global_positive_Batch1_A4,global_positive_Batch1_A5,global_positive_Batch1_F76,global_positive_Batch1_F77,global_positive_Batch1_F78,global_positive_Batch1_F79,global_positive_Batch1_F80
M127T120,127.0472976,119.7834167,222383.4345,752614.3769,245826.9306,193017.1978,231028.5163,NA,1123672.269,44214.99916,NA,1412713.004
M129T98,129.0142487,97.74095917,477481.4623,172574.2432,149428.5183,427969.6373,153050.9668,267372.2513,310580.9543,272035.3059,287248.7237,227557.0676
M129T214,129.018071,214.3469849,664753.6394,NA,573465.4474,607680.5372,608272.3689,NA,NA,NA,912942.7,1126166.841
M129T142,129.0654815,141.6434479,410814.1208,364006.9791,325884.1392,263970.5063,335396.6672,90901.47171,255657.3507,357904.8274,274891.7039,69331.85923
M129T143,129.4356782,142.8928833,NA,NA,65423.3211,123333.4522,91308.47579,139602.8523,218885.7536,314772.5465,331879.8435,99101.81505
M130T96,129.980953,95.59864807,54563.35936,66146.6945,NA,NA,48124.13564,NA,60912.22903,59301.65214,30202.20485,49811.11756
M130T618,130.0649038,618.414791,1486583.016,81910.52053,102101.2274,67038.07635,55469.62945,1828386.868,1456509.236,21893089.15,850948.5945,1190260.7
M130T538,130.0647927,537.9937744,1433870.853,1331341.548,1811243.274,1542072.548,1766856.788,2606288.746,1754660.829,1885786.143,2013809.578,1666344.023
M130T227,130.0496225,226.7519531,NA,1657586.363,1546705.454,1373684.229,1387073.947,NA,2297764.918,NA,NA,3241706.663
M130T123,130.0857371,123.0475807,3538035.489,5192560.675,3733393.45,2897135.329,3395850.956,759752.2596,1112895.119,1592328.601,1249226.516,4048673.055
M130T542,130.1588422,542.1400757,293672.641,198235.0158,211428.6837,152344.4075,NA,124993.823,222921.2476,236624.5526,250899.0887,236299.4507
M130T97,130.3146279,96.9716568,147452.2942,156903.4525,135089.0688,125944.7239,152789.0547,55787.08424,53746.89828,NA,62576.0719,48225.13355
M131T97,130.6172562,97.1522522,59637.75075,52047.50216,49427.04533,55473.22506,NA,NA,NA,NA,NA,NA
M131T96,130.9814038,95.85769653,170793.4668,483184.788,557379.1481,437406.9141,427371.7614,341071.3504,200621.3075,279107.8138,226788.5285,226959.822
M131T634,131.0681034,634.3374634,171184.8029,79275.97638,123545.5113,106097.6249,362262.2119,95668.01557,62032.24346,2005491.267,NA,85068.79951
M131T538,131.0700507,537.962,154296.6728,112091.414,143089.5115,137766.3356,219764.2305,186122.115,74554.13773,85794.98595,139791.8388,68868.30391
M131T130,131.0811682,129.7194824,300664.4031,24538.72891,333527.4986,123186.1859,249138.7765,NA,169251.8292,144990.2864,146051.1672,216591.6937
M132T98,131.6197781,97.61107498,143400.3678,132142.0029,133978.8322,115421.0285,146170.8142,NA,48400.56895,39059.99391,40911.59761,27243.38603
